Identifiant;Adresse;Code postal;Commune;Nature de l'opération;Responsable de l'opération;Date de l'opération;Protohistoire;Antiquité;Moyen-Age;Temps modernes;Epoque contemporaine;X;Y;latitude;longitude
79;1v place du Pont Neuf;75001;Paris;Découverte ancienne;Magne Charles;1913;Non;Non;Non;Non;Non;651801.973;6862325.0;48.85915599932461; 2.343076340593598
103;6 rue Saint-Germain l'Auxerrois;75001;Paris;Découverte ancienne;Magne Charles;1911;Non;Non;Non;Oui;Non;651970.615;6862219.28;48.85821794795836; 2.3453867157801
40;1 place de la Concorde;75008;Paris;Découverte ancienne;Sellier Charles;1907-1915;Non;Non;Non;Oui;Non;650092.212;6862884.17;48.864054388282526; 2.3197083198912223
296;1 avenue de la porte de Vitry;75013;Paris;Découverte ancienne;Grimault Prudent Aimé;1934;Oui;Non;Non;Non;Non;654384.284;6858102.2;48.82136818892924; 2.3787237526431024
140;36 rue Saint-Bernard;75011;Paris;Découverte ancienne;Grimault Prudent Aimé;1922;Non;Non;Non;Non;Non;654582.332;6861599.09;48.85282996537378; 2.3810476950574717
237;67 boulevard Saint-Germain;75005;Paris;Découverte ancienne;Grimault Prudent Aimé;1928;Non;Non;Oui;Oui;Non;651988.047;6861373.93;48.85061706620805; 2.3457197591338295
599;81 rue de la Verrerie;75004;Paris;Suivi de travaux;;1973;Non;Non;Oui;Non;Non;652411.001;6862246.16;48.85849235906933; 2.3513856467346756
525;49 rue de Réaumur;75003;Paris;;;1966;Non;Non;Non;Non;Non;652534.026;6863083.93;48.86603533068576; 2.352968779714596
528;223 rue de Bercy;75012;Paris;Découverte ancienne;Citerne Daniel;1941;Non;Non;Non;Non;Non;653776.685;6860871.0;48.84622499686389; 2.3701479388208218
531;2w rue de Médicis;75006;Paris;Fouille;Högström A.;1963 - 1964;Non;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
441;292 rue Saint-Jacques;75005;Paris;Suivi de travaux;Travers Laurent;1956;Non;Oui;Non;Oui;Non;651633.498;6860330.62;48.841208053433704; 2.341007038841395
384;53 rue de la Grange aux Belles;75010;Paris;;;1938;Non;Non;Non;Non;Non;653705.086;6864258.41;48.876682409647955; 2.3688033917259363
569;36 rue de Vaugirard;75006;Paris;Sauvetage urgent;Servat Edmond;1973 - 1974;Non;Oui;Non;Non;Non;651240.739;6861233.45;48.849297634857706; 2.3355524460461963
455;14 rue des Fossés-Saint-Marcel;75005;Paris;;;1957;Non;Non;Non;Non;Non;652722.019;6860022.41;48.83851713104578; 2.3558717122949204
469;7 rue Fustel de Coulanges;75005;Paris;Fouille;Fleury Michel;1959 - 1960;Non;Oui;Non;Non;Non;651511.648;6860141.8;48.8395008514559; 2.339368434807348
512;1 place Sainte-Geneviève;75005;Paris;;Fleury Michel;1963;Non;Non;Oui;Oui;Non;652122.058;6860920.14;48.84654608396387; 2.3475969960747336
666;91bA rue de Rivoli;75001;Paris;Sondage;;1976 - 1977;Non;Non;Oui;Oui;Non;651664.998;6862494.55;48.86067056754831; 2.3411902203718076
674;91bA rue de Rivoli;75001;Paris;Sauvetage urgent;;1981;Non;Non;Oui;Oui;Non;651664.998;6862494.55;48.86067056754831; 2.3411902203718076
646;165 rue Saint-Honoré;75001;Paris;Suivi de travaux;Le Hallé Guy;1978;Non;Non;Non;Oui;Non;651189.657;6862814.78;48.863514478242664; 2.3346748157108173
584;9 rue Geoffroy Saint-Hilaire;75005;Paris;Sauvetage urgent;Servat Edmond;1975;Non;Oui;Oui;Non;Non;652777.73;6860086.92;48.839101312640615; 2.356623540280892
601;11 rue de la Reynie;75004;Paris;;Servat Edmond;;Non;Non;Non;Oui;Non;652291.71;6862402.72;48.85989147063704; 2.349742271339065
1199;60 boulevard Saint-Michel;75006;Paris;Découverte ancienne;Vacquer Théodore;1861;Non;Oui;Non;Non;Non;651539.641;6860823.38;48.84563244741402; 2.3396721537001826
1095;2 rue de la Cité;75004;Paris;Étude documentaire;Celly Paul;2010;Non;Non;Non;Non;Non;652117.648;6861795.55;48.854418338857386; 2.3474383270203294
713;91bA rue de Rivoli;75001;Paris;Fouille;Fleury Michel;1983 - 1987;Non;Non;Oui;Non;Non;651664.998;6862494.55;48.86067056754831; 2.3411902203718076
747;1 rue de la Cité;75004;Paris;Sauvetage urgent;Busson Didier;1988;Non;Oui;Non;Non;Non;652184.828;6861906.63;48.85542218045165; 2.3483413517702827
920;3 allée des Justes de France;75004;Paris;Sauvetage urgent;Peixoto Xavier;2000;Non;Non;Oui;Non;Non;652760.473;6861851.04;48.85496478401986; 2.356192471463655
1815;14 quai François Mitterand;75001;Paris;Sauvetage urgent;Trombetta Pierre-Jean;1991 - 1992;Non;Oui;Oui;Oui;Non;650967.945;6862499.58;48.86066304218362; 2.3316892058677863
359;75 avenue de Choisy;75013;Paris;Découverte ancienne;Magne Charles;1906;Non;Oui;Non;Non;Non;653129.375;6858382.34;48.82379753124439; 2.3616020498977535
2011;1 rue de Tolbiac;75013;Paris;Diagnostic;Roquecave Agnès;1994;Non;Non;Non;Non;Non;654226.315;6859093.54;48.83027230541534; 2.3764657216012863
1163;5 boulevard Saint-Michel;75005;Paris;Découverte ancienne;Vacquer Théodore;1857 - 1861;Non;Oui;Non;Non;Non;651859.793;6861591.07;48.85256016921217; 2.3439474812796646
889;35 rue Saint-Placide;75006;Paris;Sondage;Busson Didier;1995;Non;Non;Non;Non;Non;650527.635;6861152.73;48.848517356721146; 2.325844763153443
156;2 rue Emile Richard;75014;Paris;Découverte ancienne;Grimault Prudent Aimé;1922;Non;Non;Non;Non;Non;650780.476;6860043.4;48.83856050870322; 2.329418412067253
1498;53 avenue de l'Observatoire;75014;Paris;Découverte ancienne;Vacquer Théodore;1873;Non;Oui;Non;Non;Non;651333.277;6860026.54;48.83845085982135; 2.3369515119084134
1430;2 place Sainte-Geneviève;75005;Paris;Découverte ancienne;Vacquer Théodore;1859;Non;Oui;Non;Non;Non;652115.973;6860953.95;48.84684973847975; 2.3475102757784927
1410;11 place Marcelin Berthelot;75005;Paris;Découverte ancienne;Vacquer Théodore;"1857 ; 1873 ; 1895";Non;Oui;Non;Non;Non;651973.858;6861204.35;48.8490909744788; 2.3455455613308427
829;1 rue des Prêtres Saint-Séverin;75005;Paris;Sondage;Busson Didier;1991;Non;Non;Oui;Oui;Non;651962.584;6861545.87;48.852161423743574; 2.345353353992622
2160;3 rue d'Ulm;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;651984.434;6860769.14;48.845177965221545; 2.3457388123276326
1931;9 rue de l'Arbre Sec;75001;Paris;Découverte ancienne;;1810;Non;Non;Oui;Non;Non;651713.825;6862362.13;48.859483384657956; 2.3418707483240775
1997;4 avenue de la Porte de Sèvres;75015;Paris;Diagnostic;Watrin Luc;1995;Oui;Non;Non;Non;Non;646993.875;6859767.45;48.83577859707092; 2.2778657773585147
204;2 place du Louvre;75001;Paris;Découverte ancienne;Grimault Prudent Aimé;1927;Non;Non;Non;Oui;Non;651642.633;6862401.87;48.85983534030413; 2.340895943053701
1351;45 rue Albert;75013;Paris;Suivi de travaux;Boizot Franck;1994;Non;Non;Non;Non;Oui;653884.785;6858578.96;48.82562022672297; 2.37186931688949
1110;45 rue du Faubourg Saint-Antoine;75011;Paris;Fouille;Celly Paul;2015;Non;Oui;Non;Oui;Non;653948.585;6861552.79;48.852368640785286; 2.372416361993075
979;204 rue du Faubourg Saint-Honoré;75008;Paris;Suivi de travaux;Bresson Violaine;2011;Non;Non;Non;Oui;Non;649031.212;6864128.88;48.8751646287581; 2.30509728830281
